"name","yrnom","posit","recess","success","id","analu","seatid","spaethid","zukid","birdate","biryear","birthcit","birthst","childcit","childst","childsur","famses","famjud","nomrelig","natorig","race","gender","mothname","fathname","fathoccu","fathpol","fathpoln","undsch","undsta","unddat","undschn","gradsch","gradsta","graddat","gradschn","lawsch","lawsta","lawdat","lawschn","read","readst","readyr","readn","marryn","spouse","marryr","child","militbr","milityr1","milityr2","militran","militwar","clerkj","clerkyr1","clerkyr2","barst1","baryr1","barst2","baryr2","barst3","baryr3","privtyp1","privst1","privyrf1","privyrl1","privtyp2","privst2","privyrf2","privyrl2","schname1","schrank1","schyrf1","schyrl1","schname2","schrank2","schyrf2","schyrl2","schn","schcon","sttrist","sttriyr1","sttriyr2","stapst","stapyr1","stapyr2","stsupst","stsupyr1","stsupyr2","feddist","feddi","feddiyr1","feddiyr2","fedca","fedcayr1","fedcayr2","usasat","usasat1","usasat2","usat","usat1","usat2","ussgo1","ussgo2","ussg1","ussg2","usago1","usago2","usag1","usag2","uscab","uscab1","uscab2","ussec","ussec1","ussec2","usage","usage1","usage2","usagh","usagh1","usagh2","uspres1","uspres2","ushr1","ushryrf1","ushryrl1","ushr2","ushryrf2","ushryrl2","ussn1","ussnyrf1","ussnyrl1","ussn2","ussnyrf2","ussnyrl2","conconv","concong","concong1","concong2","artcon","artcon1","artcon2","artconsp","citat","citat1","citat2","cdep","cdep1","cdep2","cdis","cdis1","cdis2","saag","saag1","saag2","stag","stag1","stag2","ltgov","ltgov1","ltgov2","gov","gov1","gov2","stcab","stcab1","stcab2","mayor","mayor1","mayor2","stsenate","stsen1","stsen2","sthouse","sthse1","sthse2","ctycl","ctycl1","ctycl2","commsn","commsn1","commsn2","datenom","datesen","judnom","usjnom","stjnom","prsznom","prstnom","prposnom","prschnom","govatnom","uslenom","uslesnom","stlenom","stlesnom","stexpnom","stexsnom","usexnom","yrposnom","agenom","stnom","parnom","prparnom","prdssr","presname","prespart","nompres","socpres","econpres","congress","senparty","nomsen","ideo","mednmq1","medmq1","mednmq2","medmq2","qual","abarate","abavote","heardate","heardays","comdvote","comvote","intpro","intanti","sendate","senact","sensupp","senopp","serve","withdraw","dateserb","npart","nops","judgment","ndis","nconr","ncons","percrim","ncrim","percr","ncr","perfir","nfir","perunn","nunn","perecon","necon","perfed","nfed","perftax","nftax","datesere","agedep","reasdep","postdep","scssr","deathd","deathcit","deathst","deathag"
"McKinley, John",1837,1,1,888,43,1,"09.02",28,"888","05/01/1780",1780,389,46,120,17,2,4,0,11,19,0,0,"Logan, Mary","McKinley, Andrew",26,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"Self taught",17,1800,777,2,"Armistead, Elizabeth",999,999,888,888,888,888,888,888,888,888,17,1800,888,888,888,888,1,17,1800,1818,1,1,1818,1826,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,1,1833,1835,777,777,777,1,1826,1831,1,1837,1837,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,1,1820,1822,888,888,888,888,888,888,"04/22/1837","RECESS APPT",888,888,888,888,888,888,888,888,2,1,888,888,888,888,888,0,56,1,1,888,"NEWLY CREATED SEAT",8,1,0.090999998152256,888,888,25,1,-0.247999995946884,888,888,888,888,888,777,777,777,"777. RECESS APPOINTMENT",777,"777. RECESS APPOINTMENT",777,777,777,"777. RECESS APPT",777,777,777,777,"777. RECESS APPOINTMENT","999. UNCLEAR",543,19,0,4,0,1,0.384615391492844,13,0.555555582046509,36,0.5,2,77777,0,0.456375807523727,149,0.818181812763214,22,0.636363625526428,22,"01/09/1838",58,13,9,"666. RECESS APPOINTEE REPLACED HIMSELF","07/19/1852",122,17,72
"McKinley, John",1837,1,0,1,44,2,"09.03",28,"888","05/01/1780",1780,389,46,120,17,2,4,0,11,19,0,0,"Logan, Mary","McKinley, Andrew",26,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"Self taught",17,1800,777,2,"Armistead, Elizabeth",999,999,888,888,888,888,888,888,888,888,17,1800,888,888,888,888,1,17,1800,1818,1,1,1818,1826,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,1,1833,1835,777,777,777,1,1826,1831,1,1837,1837,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,1,1820,1822,888,888,888,888,888,888,"09/18/1837","09/19/1837",9,1,888,888,888,888,888,888,888,888,888,888,888,888,888,0,57,1,1,888,"NEWLY CREATED SEAT",8,1,0.090999998152256,888,888,25,1,-0.247999995946884,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"09/25/1837",1,888,888,"09/25/1837",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","01/09/1838",543,19,0,4,0,1,0.384615391492844,13,0.555555582046509,36,0.5,2,77777,0,0.456375807523727,149,0.818181812763214,22,0.636363625526428,22,"07/19/1852",72,3,777,"Campbell, John Archibald","07/19/1852",122,17,72
"Daniel, Peter Vivian",1841,1,0,1,45,1,"05.06",29,"888","04/24/1784",1784,396,46,396,46,6,5,0,6,4,0,0,"Moncure, Frances","Daniel, Travers",28,11,1,85,1,1803,1,888,888,888,888,888,888,888,888,"Randolph, Edmund",46,1808,1,2,"Harris, Elizabeth",1853,5,888,888,888,888,888,888,888,888,46,1808,888,888,888,888,1,46,1808,1818,777,777,777,777,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,46,9,1836,1841,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,46,1818,1835,888,888,888,46,1812,1835,888,888,888,888,888,888,46,1809,1812,888,888,888,888,888,888,"02/25/1841","02/27/1841",5,16,888,888,888,888,888,888,888,888,888,888,888,888,888,5,56,46,1,2,"Barbour, Philip Pendelton",8,1,0.090999998152256,888,888,26,1,-0.238000005483627,888,888,888,888,888,888,888,888,"888. NO REFERRAL",888,"888. NO REFERRAL",888,888,888,"03/02/1841",2,22,5,1,"888. NOMINATION NOT WITHDRAWN","01/10/1842",1170,84,0,35,1,11,0.53846150636673,26,0.485714286565781,70,0.5,2,0,1,0.517751514911652,338,0.568181812763214,44,0.722222208976746,36,"05/31/1860",76,3,777,"Miller, Samuel Freeman","05/31/1860",395,46,76
"Spencer, John C.",1844,1,0,0,46,1,"02.10",888,"888","01/08/1788",1788,279,32,268,32,4,5,1,9,4,0,0,"Canfield, Laura","Spencer, Ambrose",20,10,8,101,2,1806,2,888,888,888,888,888,888,888,888,"999. UNKNOWN",32,1809,999,1,"Smith, Elizabeth Scott",1807,4,1,1813,1814,999,2,888,888,888,32,1809,888,888,888,888,1,32,1809,1813,1,32,1822,1825,888,888,888,888,888,888,888,888,888,888,32,1811,1812,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,29,1841,1843,888,888,888,888,888,888,888,888,32,1817,1819,777,777,777,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,32,1815,1817,32,1815,1817,888,888,888,888,888,888,888,888,888,32,1839,1841,888,888,888,32,1824,1828,32,1819,1821,888,888,888,4,1827,1829,"01/08/1844","01/09/1844",888,888,888,888,888,888,888,888,888,888,888,888,888,888,11,1,56,32,7,1,"Thompson, Smith",10,1,0.254000008106232,888,888,28,7,-0.23199999332428,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"01/30/1844",1,888,888,"01/31/1844",4,21,26,3,"888. NOMINATION NOT WITHDRAWN","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","05/18/1855",268,32,67
"Walworth, Reuben H.",1844,1,0,0,47,1,"02.11",888,"888","10/26/1788",1788,39,7,278,32,2,2,0,10,4,0,0,"Hyde, Apphia","Walworth, Benjamin",15,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"Russell, John",32,1809,1,2,"Hardin, Sarah Ellen Smith",1851,7,14,1812,1814,18,2,888,888,888,32,1809,888,888,888,888,1,32,1810,1823,777,777,777,777,888,888,888,888,888,888,888,888,888,888,32,1823,1848,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,32,1821,1823,777,777,777,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"03/13/1844","03/13/1844",8,888,32,888,888,888,888,888,888,888,888,888,888,888,888,16,55,32,1,888,"Thompson, Smith",10,1,0.254000008106232,888,888,28,7,-0.23199999332428,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"06/14/1844",1,888,888,"06/17/1844",5,20,27,4,"06/17/1844","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","11/21/1867",288,32,79
"King, Edward",1844,1,0,0,48,1,"04.05",888,"888","01/31/1794",1794,326,38,326,38,5,999,999,999,4,0,0,"999. UNKNOWN","999. UNKNOWN",999,999,999,888,888,888,888,888,888,888,888,888,888,888,888,"Chauncey, Charles",38,1816,1,999,"999. UNKNOWN",999,999,888,888,888,888,888,888,888,888,38,1816,888,888,888,888,999,38,1816,1824,777,777,777,777,888,888,888,888,888,888,888,888,888,888,38,1825,1844,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"06/05/1844","06/05/1844",8,888,38,888,888,888,888,888,888,888,888,888,888,888,888,19,50,38,1,888,"Baldwin, Henry",10,1,0.254000008106232,888,888,28,7,-0.23199999332428,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"06/14/1844",1,888,888,"06/15/1844",5,18,29,3,"888. NOMINATION NOT WITHDRAWN","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","05/08/1873",326,38,79
"Spencer, John C.",1844,1,0,0,49,2,"02.12",888,"888","01/08/1788",1788,279,32,268,32,4,5,1,9,4,0,0,"Canfield, Laura","Spencer, Ambrose",20,10,8,101,2,1806,2,888,888,888,888,888,888,888,888,"999. UNKNOWN",32,1809,999,1,"Smith, Elizabeth Scott",1807,4,1,1813,1814,999,2,888,888,888,32,1809,888,888,888,888,1,32,1809,1813,1,32,1822,1825,888,888,888,888,888,888,888,888,888,888,32,1811,1812,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,29,1841,1843,17,1814,1814,888,888,888,888,888,32,1817,1819,777,777,777,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,32,1815,1817,32,1815,1817,888,888,888,888,888,888,888,888,888,32,1839,1841,888,888,888,32,1824,1828,32,1819,1821,888,888,888,4,1827,1829,"06/17/1844","06/17/1844",888,888,888,888,888,888,888,888,888,888,888,888,888,888,11,1,56,32,7,1,"Thompson, Smith",10,1,0.254000008106232,888,888,28,7,-0.23199999332428,888,888,888,888,888,888,888,888,"888. NO REFERRAL",888,"888. NO REFERRAL",888,888,888,"888. NO RECORD OF ACTION",888,888,888,4,"06/17/1844","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","05/18/1855",268,32,67
"Walworth, Reuben H.",1844,1,0,0,50,2,"02.13",888,"888","10/26/1788",1788,39,7,278,32,2,2,0,10,4,0,0,"Hyde, Apphia","Walworth, Benjamin",15,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"Russell, John",32,1809,1,2,"Hardin, Sarah Ellen Smith",1851,7,14,1812,1814,18,2,888,888,888,32,1809,888,888,888,888,1,32,1810,1823,777,777,777,777,888,888,888,888,888,888,888,888,888,888,32,1823,1848,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,32,1821,1823,777,777,777,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"06/17/1844","06/17/1844",8,888,32,888,888,888,888,888,888,888,888,888,888,888,888,16,55,32,1,888,"Thompson, Smith",10,1,0.254000008106232,888,888,28,7,-0.23199999332428,888,888,888,888,888,888,888,888,"888. NO REFERRAL",888,"888. NO REFERRAL",888,888,888,"888. NO RECORD OF ACTION",888,888,888,3,"888. NOMINATION NOT WITHDRAWN","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","11/21/1867",288,32,79
"Walworth, Reuben H.",1844,1,0,0,51,3,"02.14",888,"888","10/26/1788",1788,39,7,278,32,2,2,0,10,4,0,0,"Hyde, Apphia","Walworth, Benjamin",15,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"Russell, John",32,1809,1,2,"Hardin, Sarah Ellen Smith",1851,7,14,1812,1814,18,2,888,888,888,32,1809,888,888,888,888,1,32,1810,1823,777,777,777,777,888,888,888,888,888,888,888,888,888,888,32,1823,1848,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,32,1821,1823,777,777,777,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"12/04/1844","12/10/1844",8,888,32,888,888,888,888,888,888,888,888,888,888,888,888,16,56,32,1,888,"Thompson, Smith",10,1,0.254000008106232,888,888,28,7,-0.23199999332428,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"01/21/1845",1,888,888,"01/21/1845",5,666,666,4,"02/06/1845","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","11/21/1867",288,32,79
"King, Edward",1844,1,0,0,52,2,"04.06",888,"888","01/31/1794",1794,326,38,326,38,5,999,999,999,4,0,0,"999. UNKNOWN","999. UNKNOWN",999,999,999,888,888,888,888,888,888,888,888,888,888,888,888,"Chauncey, Charles",38,1816,1,999,"999. UNKNOWN",999,999,888,888,888,888,888,888,888,888,38,1816,888,888,888,888,999,38,1816,1824,777,777,777,777,888,888,888,888,888,888,888,888,888,888,38,1825,1844,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"12/04/1844","12/10/1844",8,888,38,888,888,888,888,888,888,888,888,888,888,888,888,19,50,38,1,888,"Baldwin, Henry",10,1,0.254000008106232,888,888,28,7,-0.23199999332428,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"01/21/1845",1,888,888,"01/21/1845",5,666,666,4,"02/08/1845","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","05/08/1873",326,38,79
"Nelson, Samuel",1845,1,0,1,53,1,"02.15",30,"888","11/10/1792",1792,277,32,290,32,1,4,0,6,22,0,0,"McCarter, Jane","Nelson, John Rogers",13,888,888,71,2,1813,1,888,888,888,888,888,888,888,888,"Savage and Wood Law Offices",32,1817,2,2,"Russell, Catherine Ann",1825,4,888,888,888,888,888,888,888,888,32,1817,888,888,888,888,3,32,1817,1818,1,32,1819,1820,888,888,888,888,888,888,888,888,888,888,32,1823,1831,888,888,888,32,1831,1845,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,17,1820,1823,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,15,1821,1821,"02/04/1845","02/06/1845",6,888,32,888,888,888,888,888,888,888,888,888,888,888,888,14,52,32,1,2,"Thompson, Smith",10,1,0.254000008106232,888,888,28,7,-0.23199999332428,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"02/08/1845",1,888,888,"02/14/1845",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","02/27/1845",2039,316,0,25,1,7,0.470588207244873,34,0.582417607307434,91,0.666666686534882,3,0,1,0.557069778442383,587,0.564516127109528,62,0.705882370471954,51,"11/28/1872",80,1,777,"Hunt, Ward","12/13/1873",273,32,81
"Read, John M.",1845,1,0,0,54,1,"04.07",888,"888","07/21/1794",1794,326,38,326,38,5,5,0,6,999,0,0,"Meredith, Martha","Read, John",20,11,4,84,2,1812,1,888,888,888,888,888,888,888,888,"999. UNKNOWN",999,999,999,2,"Thompson, Amelia",1855,1,888,888,888,888,888,888,888,888,38,1818,888,888,888,888,999,38,1818,1837,999,38,1841,1845,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,10,1837,1841,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,326,1846,1846,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,38,1823,1825,326,1827,1827,888,888,888,"02/08/1845","02/08/1845",888,888,888,5,38,888,888,888,888,888,888,888,888,888,888,4,47,38,1,4,"Baldwin, Henry",10,1,0.254000008106232,888,888,28,7,-0.23199999332428,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"02/14/1845",1,888,888,"888. NO RECORD OF ACTION",888,888,888,3,"888. NOMINATION NOT WITHDRAWN","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","11/29/1874",326,38,77
"Woodward, George W.",1845,1,0,0,55,1,"04.08",888,"888","03/26/1809",1809,316,38,999,999,999,999,999,999,4,0,0,"999. UNKNOWN","999. UNKNOWN",999,999,999,48,999,999,999,888,888,888,888,999,999,999,999,"999. UNKNOWN",38,1830,999,999,"999. UNKNOWN",999,999,888,888,888,888,888,888,888,888,38,1830,888,888,888,888,999,38,1830,1841,777,777,777,777,888,888,888,888,888,888,888,888,888,888,38,1841,1845,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,8,1837,1837,"12/23/1845","12/23/1845",8,888,38,888,888,888,888,888,888,888,888,888,888,888,888,4,36,38,1,888,"Baldwin, Henry",11,1,-0.66100001335144,888,888,29,1,-0.291999995708466,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"01/20/1846",1,888,888,"01/22/1846",4,20,29,3,"888. NOMINATION NOT WITHDRAWN","888. NOT CONFIRMED OR DIDN'T SERVE",88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,88888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE",888,888,888,"888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE","05/10/1875",535,56,66
"Woodbury, Levi",1845,1,1,888,56,1,"03.06",31,"888","12/22/1789",1789,238,29,238,29,1,4,0,10,4,0,0,"Woodbury, Mary","Woodbury, Peter",24,11,1,31,2,1809,1,888,888,888,888,59,1,1810,1,"Smith, Jeremiah",21,1812,2,1,"Clapp, Elizabeth Williams",1819,5,888,888,888,888,888,888,888,888,29,1812,888,888,888,888,1,29,1812,1816,777,777,777,777,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,29,1817,1823,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,24,1834,1841,888,888,888,888,888,888,888,888,888,888,888,888,888,888,29,1825,1831,29,1841,1845,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,29,1823,1824,888,888,888,888,888,888,888,888,888,29,1825,1825,888,888,888,888,888,888,"09/20/1845","RECESS APPT",888,888,888,888,888,888,888,888,2,29,888,888,888,888,888,4,55,29,1,2,"Story, Joseph",11,1,-0.66100001335144,888,888,29,7,-0.291999995708466,888,888,888,888,888,777,777,777,"777. RECESS APPOINTMENT",777,"777. RECESS APPOINTMENT",777,777,777,"777. RECESS APPT",777,777,777,777,"777. RECESS APPOINTMENT","09/23/1845",319,42,0,8,0,5,0.5,10,0.333333313465118,24,77777,0,77777,0,0.587628901004791,97,0.727272689342499,11,0.444444388151169,9,"01/03/1846",56,13,9,"666. RECESS APPOINTEE REPLACED HIMSELF","09/04/1851",241,29,61
"Woodbury, Levi",1845,1,0,1,57,2,"03.07",31,"888","12/22/1789",1789,238,29,238,29,1,4,0,10,4,0,0,"Woodbury, Mary","Woodbury, Peter",24,11,1,31,2,1809,1,888,888,888,888,59,1,1810,1,"Smith, Jeremiah",21,1812,2,1,"Clapp, Elizabeth Williams",1819,5,888,888,888,888,888,888,888,888,29,1812,888,888,888,888,1,29,1812,1816,777,777,777,777,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,29,1817,1823,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,24,1834,1841,888,888,888,888,888,888,888,888,888,888,888,888,888,888,29,1825,1831,29,1841,1845,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,29,1823,1824,888,888,888,888,888,888,888,888,888,29,1825,1825,888,888,888,888,888,888,"12/23/1845","12/23/1845",9,1,888,888,888,888,888,888,888,888,888,888,888,888,888,1,56,29,1,2,"Story, Joseph",11,1,-0.66100001335144,888,888,29,1,-0.291999995708466,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"01/03/1846",1,888,888,"01/03/1846",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","01/03/1846",319,42,0,8,0,5,0.5,10,0.333333313465118,24,77777,0,77777,0,0.587628901004791,97,0.727272689342499,11,0.444444388151169,9,"09/04/1851",61,3,777,"Curtis, Benjamin Robbins","09/04/1851",241,29,61
"Grier, Robert Cooper",1846,1,0,1,58,1,"04.09",32,"888","03/05/1794",1794,323,38,325,38,2,3,0,10,19,0,0,"Cooper, Elizabeth","Grier, Issac",29,888,888,37,2,1812,1,888,888,888,888,888,888,888,888,"Self taught",38,1817,777,1,"Rose, Isabella",1829,2,888,888,888,888,888,888,888,888,38,1817,888,888,888,888,1,38,1817,1833,777,777,777,777,888,888,888,888,888,888,888,888,888,888,38,1833,1846,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,0,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,888,"08/03/1846","08/03/1846",8,888,38,888,888,888,888,888,888,888,888,888,888,888,888,13,52,38,1,888,"Baldwin, Henry",11,1,-0.66100001335144,888,888,29,1,-0.291999995708466,888,888,888,888,888,888,888,888,"666. NO RECORD OF HEARING",666,"08/04/1846",1,888,888,"08/04/1846",1,666,666,1,"888. NOMINATION NOT WITHDRAWN","08/10/1846",1824,203,0,16,2,3,0.454545497894287,33,0.571428596973419,84,1,2,0,1,0.551923096179962,520,0.561403512954712,57,0.727272689342499,44,"01/31/1870",75,2,777,"Strong, William","09/25/1870",326,38,76
